Nama Merchant;Tanggal Transaksi;Nomor Transaksi;Nominal Transaksi;Tip;Harga;Total Terbayar;MDR;Tipe QR;Terminal;Issuer;Nomor Tagihan;No. Referensi Tagihan;Status;Status Pelimpahan Dana
Warung FIFGROUP 3;07/05/2026 09:02;INV/QRM/4B1VJ7/260507/1XM72UYH;40000;0;40000;Rp40.000,00;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 16:30;INV/QRM/4B1VJ7/260506/3HSYJGPJ;20500;0;20500;Rp20.500,00;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 16:24;INV/QRM/4B1VJ7/260506/3HC1F0HK;23000;0;23000;Rp23.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 16:19;INV/QRM/4B1VJ7/260506/3GXR7V9W;2500;0;2500;Rp2.500,00;0;STATIC;A001;GOPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 16:10;INV/QRM/4B1VJ7/260506/3G8OLD1R;33000;0;33000;Rp33.000,00;0;STATIC;A001;PERMATA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 15:55;INV/QRM/4B1VJ7/260506/3BZWCO7J;150500;0;150500;Rp150.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 15:48;INV/QRM/4B1VJ7/260506/3BGBESS5;25500;0;25500;Rp25.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 15:33;INV/QRM/4B1VJ7/260506/3ABU0VFU;21000;0;21000;Rp21.000,00;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 15:05;INV/QRM/4B1VJ7/260506/384QD0EO;10000;0;10000;Rp10.000,00;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 14:00;INV/QRM/4B1VJ7/260506/300WRWN5;23000;0;23000;Rp23.000,00;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 13:54;INV/QRM/4B1VJ7/260506/2WICQHGK;23000;0;23000;Rp23.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 13:26;INV/QRM/4B1VJ7/260506/2UC5QWBA;23000;0;23000;Rp23.000,00;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 12:23;INV/QRM/4B1VJ7/260506/2ME8V4VT;21000;0;21000;Rp21.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 12:23;INV/QRM/4B1VJ7/260506/2ME7B2DK;18000;0;18000;Rp18.000,00;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:59;INV/QRM/4B1VJ7/260506/2HGGT8CC;2500;0;2500;Rp2.500,00;0;STATIC;A001;GOPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:32;INV/QRM/4B1VJ7/260506/2FD2WGSV;21000;0;21000;Rp21.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:31;INV/QRM/4B1VJ7/260506/2FA3KOFQ;11000;0;11000;Rp11.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:30;INV/QRM/4B1VJ7/260506/2F7I2EGU;107500;0;107500;Rp107.500,00;0;STATIC;A001;CIMB;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:11;INV/QRM/4B1VJ7/260506/2DQBPIQ6;23000;0;23000;Rp23.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:10;INV/QRM/4B1VJ7/260506/2DNXG9HL;10000;0;10000;Rp10.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:08;INV/QRM/4B1VJ7/260506/2DIJ6L71;2500;0;2500;Rp2.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:06;INV/QRM/4B1VJ7/260506/2DDASLK7;22000;0;22000;Rp22.000,00;0;STATIC;A001;PERMATA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:04;INV/QRM/4B1VJ7/260506/2D73BWC5;15000;0;15000;Rp15.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:02;INV/QRM/4B1VJ7/260506/2D1DS5N8;23000;0;23000;Rp23.000,00;0;STATIC;A001;GOPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:01;INV/QRM/4B1VJ7/260506/2CZNZWK3;7500;0;7500;Rp7.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:01;INV/QRM/4B1VJ7/260506/2CYXLOB9;12500;0;12500;Rp12.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:00;INV/QRM/4B1VJ7/260506/2CWOL5MZ;5000;0;5000;Rp5.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 11:00;INV/QRM/4B1VJ7/260506/2CW1V28T;2500;0;2500;Rp2.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 10:59;INV/QRM/4B1VJ7/260506/29QAOFRN;2500;0;2500;Rp2.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 10:36;INV/QRM/4B1VJ7/260506/27Z8A4VY;23000;0;23000;Rp23.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 10:06;INV/QRM/4B1VJ7/260506/25N6MR2O;15000;0;15000;Rp15.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 09:53;INV/QRM/4B1VJ7/260506/21KCPFXS;23000;0;23000;Rp23.000,00;0;STATIC;A001;BNI;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 09:14;INV/QRM/4B1VJ7/260506/1YKDW9Q0;23000;0;23000;Rp23.000,00;0;STATIC;A001;BNI;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;06/05/2026 09:08;INV/QRM/4B1VJ7/260506/1Y3PYFV0;15000;0;15000;Rp15.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 16:15;INV/QRM/4B1VJ7/260505/3GMAGE4N;23000;0;23000;Rp23.000,00;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 14:44;INV/QRM/4B1VJ7/260505/33FC3F6F;5000;0;5000;Rp5.000,00;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 14:31;INV/QRM/4B1VJ7/260505/32F6GDFB;15000;0;15000;Rp15.000,00;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 13:26;INV/QRM/4B1VJ7/260505/2UCXJT1F;120000;0;120000;Rp120.000,00;0;STATIC;A001;PERMATA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 12:59;INV/QRM/4B1VJ7/260505/2P5VRZ7X;2500;0;2500;Rp2.500,00;0;STATIC;A001;BRI;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 11:38;INV/QRM/4B1VJ7/260505/2FTELBC6;36000;0;36000;Rp36.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
